Acc:;Time:
-1,031677;0
-1,334076;0,03443623
-1,008972;0,06841063
-0,8477478;0,1006825
-1,045471;0,1338134
-1,055969;0,1678884
-0,9516906;0,2088239
-0,935791;0,2356572
-0,9307862;0,2765188
-0,7206116;0,3023632
-0,7147217;0,3439567
-0,911499;0,3688226
-1,001373;0,4077299
-0,959137;0,4340744
-0,8106079;0,4674165
-0,7941284;0,5007043
-1,171387;0,5356646
-1,103485;0,565639
-1,015198;0,5990076
-0,981842;0,6329944
-0,8907471;0,66734
-0,8312683;0,7008224
-0,8653259;0,7344182
-0,8778992;0,7672532
-0,9073486;0,8013158
-0,8847351;0,8349826
-0,8019409;0,8683071
-0,8019409;0,9006419
-0,9743958;0,9338598
-0,9743958;0,9672203
-0,2443848;1,001162
-0,280304;1,034343
-0,0428772;1,068119
-0,0428772;1,099066
0,08905029;1,133317
0,2644348;1,169254
0,2644348;1,216956
0,7148438;1,236831
-2,204681;1,285022
-2,204681;1,303498
-0,4724121;1,352536
-0,4857178;1,369642
-1,071381;1,403545
-1,071381;1,454108
-0,9868469;1,46963
-0,870575;1,502927
-0,870575;1,550872
-0,9463195;1,56985
-0,90625;1,617588
-0,90625;1,636876
-0,9102783;1,685522
-0,9102783;1,702714
-0,9169922;1,736641
-0,9154053;1,784409
-0,9187012;1,80277
-0,9173584;1,852767
-0,9169922;1,869729
-0,9168701;1,903186
-0,9169922;1,951147
-0,916748;1,969182
-0,9171142;2,003084
